,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
0,10092.62,10109.93,10092.62,10109.93,0.27044296,2733.7999735,10108.600991
1,8630.0,8630.0,8594.12,8630.0,9.31512938,80242.200123,8614.1798841
2,8408.72,8419.79,8400.1,8414.0,1.04457635,8789.7681628,8414.6727646
3,9044.01,9044.01,9030.29,9031.93,2.55595549,23095.214725,9035.8438616
4,8278.56,8286.74,8254.07,8254.07,0.27124677,2241.1751484,8262.4952491
5,6100.1,6122.44,6100.1,6122.44,93.7943249,572500.89647,6103.7903635
6,7514.65,7514.65,7488.57,7488.6,22.02924985,165038.1054,7491.7714642
7,8163.94,8163.94,8154.35,8162.08,1.96548232,16041.676522,8161.699731
8,7847.89,7889.45,7834.7,7889.45,12.49247883,98261.464811,7865.6498961
9,8838.0,8838.0,8822.56,8822.56,5.39382449,47603.333076,8825.5250359
10,7986.65,7986.75,7960.0,7986.75,5.92948026,47312.75587,7979.2416528
11,8493.61,8493.61,8493.61,8493.61,0.01115662,94.759979198,8493.61
12,8589.99,8598.11,8581.03,8581.03,2.92018537,25091.220389,8592.3382286
13,8809.42,8809.42,8791.2,8791.2,0.6842841,6027.5219196,8808.5079276
14,9748.98,9750.0,9724.33,9724.33,50.44561903,491302.51211,9739.2503364
15,10025.82,10050.0,10025.82,10050.0,12.75467896,128114.00209,10044.470934
16,10584.93,10595.83,10582.76,10588.13,1.11635567,11824.18368,10591.771061
17,10943.97,10951.46,10937.06,10947.35,2.6500578,29014.920079,10948.787637
18,10548.52,10558.0,10548.51,10558.0,2.34457197,24752.09909,10557.193128
19,11444.67,11469.41,11444.67,11450.0,0.52613907,6032.1664066,11464.96573
20,10803.11,10803.11,10791.49,10801.03,5.00799383,54079.979555,10798.731267
21,10722.39,10737.45,10720.51,10733.1,0.62182548,6668.9785191,10724.839579
22,9862.58,9867.82,9862.58,9867.82,0.0248806,245.45263636,9865.2217535
23,10400.1,10412.67,10400.0,10400.0,12.01584938,124965.62029,10400.065475
24,9727.99,9755.83,9727.99,9737.78,0.7572799,7384.4245192,9751.2485399
25,9689.98,9696.04,9677.22,9682.8,2.68192534,25975.850504,9685.5233501
26,10292.53,10308.79,10292.53,10308.79,0.99610793,10262.818149,10302.917827
27,10907.21,10916.14,10907.21,10916.14,1.626514,17750.275353,10913.07874
28,10439.99,10448.26,10435.61,10435.61,0.09191475,960.18271565,10446.448646
29,10985.99,10994.97,10980.31,10981.41,1.16572762,12801.922244,10981.915521
30,11350.01,11365.51,11340.0,11365.51,8.77221259,99567.298162,11350.30611
31,11203.02,11203.02,11177.89,11177.89,2.28810944,25594.66695,11185.945262
32,11511.76,11511.76,11508.49,11508.49,0.26977714,3104.8951526,11509.111382
33,11288.78,11291.27,11273.77,11291.27,0.97964633,11057.581952,11287.320345
34,10761.99,10776.51,10758.82,10773.04,0.33575788,3617.6971874,10774.720127
35,9781.33,9793.98,9771.99,9790.02,3.73126951,36512.383387,9785.5122203
36,8649.1,8649.1,8589.46,8589.46,39.90654615,343706.63806,8612.7884075
37,9329.99,9334.63,9310.83,9314.12,0.75512521,7036.8078275,9318.7298402
38,8675.37,8688.65,8652.38,8664.89,8.71162634,75528.373196,8669.8361762
39,9420.43,9421.89,9417.43,9421.89,1.1667,10991.829731,9421.2991609
40,9047.99,9047.99,9025.27,9025.27,0.6154607,5562.8884945,9038.5762965
41,9280.39,9280.39,9250.0,9250.0,6.40979513,59376.006652,9263.3236239
42,7902.56,7919.2,7889.99,7889.99,11.02728424,87193.869123,7907.1027123
43,8038.67,8043.55,8036.14,8036.14,3.06831115,24666.38457,8039.0753623
44,8211.53,8215.69,8205.23,8208.48,3.4342574,28189.23384,8208.2472444
45,7674.0,7679.03,7658.49,7658.49,8.6344106,66214.234187,7668.6455225
46,8206.43,8221.02,8201.34,8207.3,5.09482195,41837.63734,8211.7957705
47,8603.05,8606.0,8563.76,8564.18,16.26282017,139418.12119,8572.8133085
48,9022.76,9036.67,9022.74,9031.3,0.37381611,3375.2502055,9029.1726741
49,9021.38,9021.98,9021.38,9021.98,0.66350553,5985.9659964,9021.7273643
50,8420.97,8420.97,8415.07,8417.64,1.2821939,10793.039018,8417.6340396
51,8881.0,8881.0,8877.11,8877.11,0.01871259,166.17790481,8880.5400436
52,8545.98,8553.67,8545.98,8553.67,1.04906841,8972.7911451,8553.1039345
53,8418.84,8425.84,8410.0,8417.38,25.95916228,218458.3755,8415.4632244
54,7861.56,7875.79,7861.56,7870.05,6.19047469,48730.352179,7871.8280292
55,7862.27,7865.0,7850.05,7850.05,2.2962749,18043.71311,7857.8192488
56,7863.09,7879.99,7863.09,7871.45,1.8838875,14824.520092,7869.1111288
57,6856.64,6872.7,6856.64,6860.0,3.60283405,24717.09271,6860.4582856
58,6967.91,6976.64,6950.0,6965.54,20.82724099,144866.85002,6955.6428567
59,6928.14,6929.11,6921.0,6924.71,0.3438979,2382.0085155,6926.4991602
60,6984.69,7006.0,6980.0,7006.0,48.86485973,342235.26319,7003.7091088
61,7184.88,7190.0,7178.96,7190.0,15.98940061,114906.82826,7186.4375072
62,7297.66,7297.66,7280.08,7286.26,2.86921933,20923.542731,7292.4166209
63,6779.1,6779.77,6750.01,6757.13,5.82372864,39397.921926,6765.0682856
64,6763.61,6763.61,6753.24,6755.77,7.45954976,50399.3895,6756.3581076
65,6868.1,6868.1,6852.2,6857.73,0.11732065,804.94023607,6861.0277566
66,6964.61,6964.61,6964.61,6964.61,2.54339,17713.719428,6964.61
67,7127.85,7127.85,7121.77,7121.77,0.03764679,268.21655008,7124.5529854
68,6789.61,6789.61,6770.83,6775.39,6.03893786,40952.346368,6781.3823088
69,6830.72,6830.73,6820.43,6830.73,3.67509846,25074.156615,6822.7169661
70,6944.99,6948.0,6930.27,6940.58,2.1473318,14910.361606,6943.6691648
71,7818.23,7833.07,7818.23,7833.07,14.23694611,111470.5718,7829.668732
72,8046.92,8046.92,8037.7,8040.87,0.09972146,802.03932939,8042.7956971
73,8076.49,8088.18,8070.46,8078.07,7.72534758,62400.754737,8077.4041674
74,8173.19,8173.19,8160.0,8160.0,3.87847117,31653.025868,8161.2121066
75,8033.59,8033.59,8019.55,8027.33,5.46130321,43827.714831,8025.1385331
76,7930.26,7936.53,7923.91,7932.28,4.81314489,38159.168981,7928.1155778
77,8179.0,8189.52,8172.19,8177.83,8.4952412,69474.609464,8178.0620265
78,8331.99,8332.98,8327.65,8332.77,0.72683594,6055.5000454,8331.3162052
79,8857.99,8860.0,8849.2,8860.0,18.06695767,160055.59252,8859.0229439
80,8828.7,8835.55,8817.92,8828.25,4.43258657,39131.171581,8828.0670806
81,8880.67,8882.82,8877.39,8880.67,28.02412009,248815.18978,8878.6084624
82,9195.36,9200.48,9190.56,9196.49,1.09061665,10028.887176,9195.6116533
83,9374.41,9436.45,9368.58,9431.1,41.11482983,386409.55723,9398.3012656
84,8804.98,8864.99,8802.14,8843.02,58.04783915,513093.45523,8839.1482395
85,9160.23,9162.6,9148.99,9148.99,13.22403862,121090.6737,9156.8602588
86,9134.18,9150.01,9130.39,9150.01,8.3102881,75923.766699,9136.1172785
87,9463.42,9463.99,9453.32,9463.17,0.78612073,7435.5969359,9458.5941474
88,9274.44,9286.92,9270.01,9280.46,15.07781236,139915.25749,9279.5462731
89,8946.1,8965.99,8941.41,8965.7,5.78621847,51802.121517,8952.6729392
90,9035.49,9041.0,9031.6,9040.98,1.90078916,17177.200446,9036.8783701
91,9232.99,9239.2,9224.39,9239.19,1.12728656,10409.037211,9233.710026
92,9570.21,9612.83,9565.73,9612.83,22.84332047,219002.13765,9587.1411486
93,9816.09,9834.7,9815.37,9832.95,15.48777256,152196.31991,9826.8695074
94,9841.99,9849.43,9838.58,9848.98,3.78580985,37269.023081,9844.3991001
95,9318.27,9350.0,9313.01,9327.2,37.61448897,351110.01335,9334.4352925
96,9423.44,9435.34,9420.34,9420.37,3.48142926,32818.63227,9426.7698175
97,9041.0,9046.5,9034.23,9034.23,2.47536639,22378.696891,9040.5594021
98,9322.62,9322.62,9319.08,9319.08,0.18300002,1705.4635831,9319.4721133
99,8913.71,8922.52,8913.71,8922.52,0.21512946,1917.8893347,8915.0474076
100,8407.74,8432.5,8403.47,8421.74,30.27958815,254813.55805,8415.3574609
101,8447.99,8448.99,8447.07,8448.99,0.17811037,1504.5449526,8447.2619564
102,8396.5,8420.99,8396.44,8413.7,7.3416944,61757.035963,8411.8232929
103,8714.99,8717.66,8708.25,8717.66,1.20424671,10491.903081,8712.4199663
104,8164.7,8164.7,8157.01,8163.99,0.20701552,1690.0505843,8163.8834825
105,8349.01,8360.55,8349.01,8360.2,0.10228898,854.672018,8355.4652515
106,8002.99,8005.99,7994.76,7999.73,1.2659715,10128.761811,8000.7818587
107,8232.0,8234.99,8222.01,8234.99,1.08913747,8960.7886412,8227.4174638
108,8255.0,8255.0,8243.98,8255.0,0.18044815,1488.4974,8248.8925489
109,8487.51,8495.24,8487.51,8494.99,1.1176033,9493.7888123,8494.7752143
110,8325.99,8333.65,8325.99,8326.09,0.52860032,4402.3930156,8328.3964255
111,7959.78,7959.99,7958.14,7959.99,9.29920351,74020.2074,7959.8437996
112,7622.78,7627.99,7613.68,7627.99,6.94778611,52960.093428,7622.5854667
113,7599.8,7599.8,7585.8,7586.99,5.63651767,42789.546674,7591.4863004
114,7433.57,7447.46,7433.57,7442.22,0.30312281,2256.4124644,7443.8887144
115,7295.99,7296.0,7290.19,7291.99,0.17450698,1272.8799081,7294.148968
116,7382.06,7394.29,7380.95,7394.29,1.44430471,10665.429496,7384.4732498
117,7113.9,7125.25,7113.59,7120.18,2.05090713,14590.285519,7114.0644574
118,7485.18,7490.82,7485.01,7490.73,0.82267844,6159.3008309,7486.8873808
119,7365.27,7365.28,7362.24,7362.24,0.29537731,2175.3547129,7364.6642421
120,7494.75,7494.75,7475.84,7483.47,2.23829571,16756.890464,7486.4506908
121,7491.79,7498.81,7491.79,7498.81,0.74522385,5584.6899884,7493.9764587
122,7643.98,7646.91,7640.27,7640.31,0.62169393,4752.7181225,7644.7877214
123,7693.99,7694.2,7690.61,7690.61,2.3819122,18325.675857,7693.682352
124,7408.42,7415.81,7408.42,7415.62,1.17213985,8690.881571,7414.5432143
125,7604.99,7608.97,7602.86,7602.86,2.57136087,19551.882419,7603.7100227
126,7722.16,7723.97,7711.81,7716.11,14.56065419,112347.00508,7715.7937832
127,7635.0,7640.82,7632.83,7632.83,3.36957753,25724.771833,7634.4205183
128,7667.06,7667.99,7659.0,7667.99,0.02199905,168.63589459,7665.5989503
129,7285.14,7308.77,7285.14,7304.65,25.74737483,187814.68073,7294.517673
130,6776.2,6779.94,6771.14,6775.38,10.58356371,71685.791516,6773.313175
131,6817.2,6825.88,6817.2,6825.88,9.57416682,65330.012093,6823.5715255
132,6563.11,6563.11,6552.2,6563.09,1.30831467,8583.0499855,6560.3865662
133,6498.55,6504.52,6498.5,6504.52,6.39837534,41585.193415,6499.3363479
134,6597.25,6606.96,6590.9,6606.96,0.46478311,3066.1892026,6597.0323289
135,6419.05,6429.2,6414.68,6429.2,11.71709841,75250.083453,6422.2455782
