,fng_value,fng_classification,date
0,03-31-2021,76,Extreme Greed
1,03-30-2021,72,Greed
2,03-29-2021,72,Greed
3,03-28-2021,74,Greed
4,03-27-2021,65,Greed
5,03-26-2021,54,Neutral
6,03-25-2021,60,Greed
7,03-24-2021,65,Greed
8,03-23-2021,66,Greed
9,03-22-2021,70,Greed
10,03-21-2021,73,Greed
11,03-20-2021,75,Greed
12,03-19-2021,71,Greed
13,03-18-2021,72,Greed
14,03-17-2021,71,Greed
15,03-16-2021,71,Greed
16,03-15-2021,76,Extreme Greed
17,03-14-2021,78,Extreme Greed
18,03-13-2021,74,Greed
19,03-12-2021,70,Greed
20,03-11-2021,73,Greed
21,03-10-2021,68,Greed
22,03-09-2021,81,Extreme Greed
23,03-08-2021,81,Extreme Greed
24,03-07-2021,76,Extreme Greed
25,03-06-2021,77,Extreme Greed
26,03-05-2021,77,Extreme Greed
27,03-04-2021,84,Extreme Greed
28,03-03-2021,78,Extreme Greed
29,03-02-2021,78,Extreme Greed
30,03-01-2021,38,Fear
31,02-28-2021,55,Greed
32,02-27-2021,56,Greed
33,02-26-2021,55,Greed
34,02-25-2021,79,Extreme Greed
35,02-24-2021,76,Extreme Greed
36,02-23-2021,94,Extreme Greed
37,02-22-2021,94,Extreme Greed
38,02-21-2021,91,Extreme Greed
39,02-20-2021,91,Extreme Greed
40,02-19-2021,93,Extreme Greed
41,02-18-2021,91,Extreme Greed
42,02-17-2021,95,Extreme Greed
43,02-16-2021,95,Extreme Greed
44,02-15-2021,93,Extreme Greed
45,02-14-2021,95,Extreme Greed
46,02-13-2021,92,Extreme Greed
47,02-12-2021,92,Extreme Greed
48,02-11-2021,93,Extreme Greed
49,02-10-2021,92,Extreme Greed
50,02-09-2021,95,Extreme Greed
51,02-08-2021,83,Extreme Greed
52,02-07-2021,86,Extreme Greed
53,02-06-2021,84,Extreme Greed
54,02-05-2021,81,Extreme Greed
55,02-04-2021,80,Extreme Greed
56,02-03-2021,78,Extreme Greed
57,02-02-2021,76,Extreme Greed
58,02-01-2021,77,Extreme Greed
59,01-31-2021,78,Extreme Greed
60,01-30-2021,76,Extreme Greed
61,01-29-2021,77,Extreme Greed
62,01-28-2021,55,Greed
63,01-27-2021,78,Extreme Greed
64,01-26-2021,71,Greed
65,01-25-2021,74,Greed
66,01-24-2021,70,Greed
67,01-23-2021,74,Greed
68,01-22-2021,40,Fear
69,01-21-2021,75,Greed
70,01-20-2021,78,Extreme Greed
71,01-19-2021,80,Extreme Greed
72,01-18-2021,79,Extreme Greed
73,01-17-2021,79,Extreme Greed
74,01-16-2021,84,Extreme Greed
75,01-15-2021,88,Extreme Greed
76,01-14-2021,83,Extreme Greed
77,01-13-2021,78,Extreme Greed
78,01-12-2021,84,Extreme Greed
79,01-11-2021,90,Extreme Greed
80,01-10-2021,94,Extreme Greed
81,01-09-2021,93,Extreme Greed
82,01-08-2021,93,Extreme Greed
83,01-07-2021,91,Extreme Greed
84,01-06-2021,95,Extreme Greed
85,01-05-2021,93,Extreme Greed
86,01-04-2021,94,Extreme Greed
87,01-03-2021,93,Extreme Greed
88,01-02-2021,94,Extreme Greed
89,01-01-2021,94,Extreme Greed
90,12-31-2020,95,Extreme Greed
91,12-30-2020,91,Extreme Greed
92,12-29-2020,91,Extreme Greed
93,12-28-2020,92,Extreme Greed
94,12-27-2020,91,Extreme Greed
95,12-26-2020,93,Extreme Greed
96,12-25-2020,94,Extreme Greed
97,12-24-2020,86,Extreme Greed
98,12-23-2020,93,Extreme Greed
99,12-22-2020,88,Extreme Greed
100,12-21-2020,92,Extreme Greed
101,12-20-2020,92,Extreme Greed
102,12-19-2020,93,Extreme Greed
103,12-18-2020,95,Extreme Greed
104,12-17-2020,92,Extreme Greed
105,12-16-2020,92,Extreme Greed
106,12-15-2020,91,Extreme Greed
107,12-14-2020,95,Extreme Greed
108,12-13-2020,91,Extreme Greed
109,12-12-2020,90,Extreme Greed
110,12-11-2020,89,Extreme Greed
111,12-10-2020,94,Extreme Greed
112,12-09-2020,86,Extreme Greed
113,12-08-2020,95,Extreme Greed
114,12-07-2020,94,Extreme Greed
115,12-06-2020,95,Extreme Greed
116,12-05-2020,93,Extreme Greed
117,12-04-2020,92,Extreme Greed
118,12-03-2020,92,Extreme Greed
119,12-02-2020,92,Extreme Greed
120,12-01-2020,95,Extreme Greed
121,11-30-2020,88,Extreme Greed
122,11-29-2020,89,Extreme Greed
123,11-28-2020,87,Extreme Greed
124,11-27-2020,86,Extreme Greed
125,11-26-2020,93,Extreme Greed
126,11-25-2020,94,Extreme Greed
127,11-24-2020,88,Extreme Greed
128,11-23-2020,90,Extreme Greed
129,11-22-2020,94,Extreme Greed
130,11-21-2020,91,Extreme Greed
131,11-20-2020,86,Extreme Greed
132,11-19-2020,94,Extreme Greed
133,11-18-2020,91,Extreme Greed
134,11-17-2020,86,Extreme Greed
